,experience,weeks,education,occupation_white,industry_yes,south_yes,smsa_yes,married_yes,gender_male,union_yes,ethnicity_other,wage_class
94,17,45,17,1,0,1,1,1,1,0,1,high
95,18,44,17,1,0,1,1,1,1,0,1,very high
96,19,44,17,1,0,1,1,1,1,0,1,very high
97,20,44,17,1,0,1,1,1,1,0,1,very high
98,21,44,17,1,0,1,1,1,1,0,1,very high
99,9,50,14,1,0,0,0,0,0,0,1,low
100,10,46,14,1,0,0,0,0,0,0,1,low
101,11,48,14,1,0,0,0,0,0,0,1,low
102,12,46,14,1,0,0,0,0,0,0,1,low
103,13,48,14,1,0,0,0,0,0,0,1,low
104,14,41,14,1,0,0,0,0,0,0,1,average
105,15,48,14,1,0,0,0,0,0,0,1,average
106,16,50,12,0,0,1,1,0,0,0,0,low
107,17,50,12,0,0,1,1,0,0,0,0,low
108,18,48,12,0,0,1,1,0,0,0,0,low
109,19,48,12,0,0,1,1,0,0,0,0,low
110,20,50,12,0,0,1,1,0,0,0,0,low
111,21,50,12,0,0,1,1,0,0,0,0,low
112,22,49,12,0,0,1,1,0,0,0,0,low
113,16,49,14,1,1,0,0,1,1,0,1,average
114,17,48,14,1,1,0,0,1,1,0,1,average
115,18,49,14,1,1,0,0,1,1,0,1,high
116,19,50,14,1,1,0,0,1,1,0,1,high
117,20,51,14,1,1,0,0,1,1,0,1,very high
118,21,46,14,1,1,0,0,1,1,0,1,very high
119,22,47,14,1,1,0,0,1,1,0,1,very high
120,25,47,16,1,1,1,1,1,1,0,1,high
121,26,46,16,1,1,1,1,1,1,0,1,high
122,27,47,16,1,1,1,1,1,1,0,1,very high
123,28,47,16,1,1,1,1,1,1,0,1,very high
124,29,47,16,1,1,1,1,1,1,0,1,very high
125,30,48,16,1,1,1,1,1,1,0,1,very high
126,31,47,16,1,1,1,1,1,1,0,1,very high
127,40,37,12,0,1,0,1,1,1,1,1,low
128,41,49,12,0,1,0,1,1,1,1,1,average
129,42,50,12,0,1,0,1,1,1,1,1,average
130,43,47,12,0,1,0,1,1,1,1,1,average
131,44,47,12,0,1,0,1,1,1,1,1,high
132,45,25,12,0,1,0,1,1,1,1,1,high
133,46,40,12,0,1,0,1,1,1,1,1,high
134,25,50,16,1,0,0,0,1,1,0,1,high
135,26,49,16,1,1,0,0,1,1,0,1,high
136,27,49,16,1,1,0,0,1,1,0,1,very high
137,28,48,16,1,1,0,0,1,1,0,1,very high
138,29,48,16,1,1,0,0,1,1,0,1,very high
139,30,49,16,1,1,0,0,1,1,0,1,very high
140,31,48,16,1,1,0,0,1,1,0,1,very high
141,28,42,4,0,1,1,0,1,1,1,1,low
142,29,46,4,0,1,1,0,1,1,1,1,low
143,30,49,4,0,1,1,0,1,1,1,1,low
144,31,49,4,0,1,1,0,1,1,1,1,low
145,32,48,4,0,0,1,0,1,1,1,1,low
146,33,45,4,0,0,1,0,1,1,1,1,average
147,34,42,4,0,1,1,0,1,1,1,1,average
148,20,46,14,1,0,0,0,1,1,0,1,average
149,21,45,14,1,0,0,0,1,1,0,1,average
150,22,44,14,1,0,0,0,1,1,0,1,average
151,23,46,14,1,0,0,0,1,1,0,1,high
152,24,47,14,1,0,0,0,1,1,0,1,high
153,25,51,14,1,1,0,0,1,1,0,1,very high
154,26,47,14,1,0,0,0,1,1,0,1,very high
155,11,50,16,1,0,0,1,1,1,0,1,high
156,12,50,16,1,0,0,1,1,1,0,1,high
157,13,51,16,1,0,0,1,1,1,0,1,very high
158,14,50,16,1,0,0,1,1,1,0,1,very high
159,15,48,16,1,0,0,1,1,1,0,1,very high
160,16,47,16,1,0,0,1,1,1,0,1,very high
161,17,50,16,1,0,0,1,1,1,0,1,very high
162,5,30,12,1,0,0,0,0,0,0,1,low
163,6,51,12,1,0,0,0,0,0,0,1,low
164,7,51,12,0,0,0,0,0,0,0,1,low
165,8,52,12,0,0,0,0,0,0,0,1,low
166,9,49,12,0,0,0,0,0,0,0,1,low
167,10,51,12,0,0,0,0,0,0,1,1,low
168,11,50,12,0,0,0,0,0,0,0,1,low
169,8,37,17,1,0,0,1,1,1,1,1,average
170,9,39,17,1,0,0,1,1,1,1,1,average
171,10,40,17,1,0,0,1,1,1,1,1,high
172,11,38,17,1,0,0,1,1,1,1,1,average
173,12,38,17,1,0,0,1,1,1,1,1,high
174,13,39,17,1,0,0,1,1,1,1,1,very high
175,14,41,17,1,0,0,1,1,1,1,1,high
176,14,48,15,1,1,1,1,1,1,0,1,average
177,15,47,15,0,1,1,1,1,1,0,1,average
178,16,49,15,1,1,1,1,1,1,0,1,high
179,17,48,15,1,1,1,1,1,1,0,1,high
180,18,47,15,1,1,1,1,1,1,0,1,very high
181,19,47,15,1,1,1,1,1,1,0,1,very high
182,20,48,15,1,1,1,1,1,1,0,1,very high
183,8,50,16,1,0,0,1,0,1,0,1,low
184,9,52,16,1,0,0,1,0,1,0,1,high
185,10,48,16,1,0,0,0,0,1,0,1,very high
186,11,50,16,1,0,0,0,0,1,0,1,very high
187,12,50,16,1,0,0,0,0,1,0,1,very high
188,13,45,16,1,0,0,0,0,1,0,1,very high
189,14,23,16,1,0,0,0,0,1,0,1,very high
190,26,50,12,0,0,0,1,1,1,0,1,high
191,27,50,12,0,0,0,1,1,1,0,1,high
192,28,50,12,0,0,0,1,1,1,0,1,average
193,29,50,12,0,0,0,1,1,1,0,1,high
194,30,50,12,0,0,0,1,1,1,0,1,high
195,31,49,12,0,0,0,1,1,1,0,1,high
196,32,49,12,0,0,0,1,1,1,0,1,high
197,31,49,14,1,0,0,1,1,1,0,1,high
198,32,49,14,1,0,0,1,1,1,0,1,high
199,33,49,14,1,0,0,1,1,1,0,1,very high
200,34,49,14,1,0,0,1,1,1,0,1,very high
201,35,50,14,1,0,0,1,1,1,0,1,very high
202,36,49,14,1,0,0,1,1,1,0,1,very high
203,37,49,14,1,0,0,1,1,1,0,1,very high
204,17,47,12,1,0,1,1,0,0,0,1,low
205,18,47,12,1,0,1,1,0,0,0,1,low
206,19,48,12,1,0,1,1,0,0,0,1,low
207,20,49,12,1,0,1,1,0,0,0,1,low
208,21,49,12,1,0,1,1,0,0,0,1,average
209,22,45,12,1,0,1,1,0,0,0,1,average
210,23,49,12,1,0,1,1,0,0,0,1,average
211,22,48,17,1,1,0,1,1,1,0,1,high
212,23,48,17,1,1,0,1,1,1,0,1,high
213,24,48,17,1,1,0,1,1,1,0,1,very high
214,25,47,17,1,1,0,1,1,1,0,1,very high
215,26,43,17,1,1,0,1,1,1,0,1,very high
216,27,47,17,1,0,0,1,1,1,0,1,very high
217,28,45,17,1,1,0,1,1,1,0,1,very high
218,30,50,16,1,1,0,1,1,1,0,1,high
219,31,49,16,1,1,0,1,1,1,0,1,high
220,32,49,16,1,1,0,1,1,1,0,1,very high
221,33,48,16,1,1,0,1,1,1,0,1,very high
222,34,49,16,1,1,0,1,1,1,0,1,very high
223,35,47,16,1,1,0,1,1,1,0,1,very high
224,36,47,16,1,1,0,1,1,1,0,1,very high
225,14,51,16,1,0,0,1,1,1,0,1,high
226,15,47,16,1,0,0,1,1,1,0,1,high
227,16,51,16,1,0,0,1,1,1,0,1,very high
228,17,47,16,1,0,0,1,1,1,0,1,very high
229,18,48,16,1,0,0,1,1,1,0,1,very high
230,19,50,16,1,0,0,1,1,1,0,1,very high
231,20,49,16,1,0,0,1,1,1,0,1,very high
232,45,48,8,0,0,1,0,1,1,0,1,low
233,46,48,8,0,0,1,0,1,1,0,1,low
234,47,48,8,0,0,1,0,1,1,0,1,low
235,48,49,8,0,0,1,0,1,1,0,1,low
236,49,50,8,0,0,1,0,1,1,0,1,low
237,50,48,8,0,0,1,0,1,1,0,1,low
238,51,46,8,0,0,1,0,1,1,0,1,low
239,8,30,13,0,0,0,1,1,1,1,0,average
240,9,49,13,0,1,0,1,1,1,1,0,average
241,10,48,13,0,1,0,1,1,1,1,0,average
242,11,49,13,0,1,0,1,1,1,1,0,high
243,12,34,13,0,1,0,1,1,1,1,0,high
244,13,48,13,0,1,0,1,1,1,1,0,very high
245,14,45,13,0,1,0,1,1,1,1,0,very high
246,15,52,10,0,0,1,1,1,1,0,1,average
247,16,47,10,1,0,1,1,1,1,0,1,high
248,17,50,10,1,0,1,0,1,1,0,1,very high
249,18,50,10,1,0,1,0,1,1,0,1,very high
250,19,48,10,1,0,1,1,1,1,0,1,very high
251,20,50,10,1,0,1,1,1,1,0,1,high
252,21,41,10,1,0,1,1,1,1,0,1,very high
253,12,52,14,1,0,0,1,1,1,0,1,high
254,13,47,14,1,0,0,1,1,1,0,1,high
255,14,50,14,1,0,0,1,1,1,0,1,very high
256,15,49,14,1,0,0,1,1,1,0,1,very high
257,16,50,14,1,0,0,1,1,1,0,1,very high
258,17,48,14,1,0,0,1,1,1,0,1,very high
259,18,49,14,1,0,0,1,0,1,0,1,very high
260,10,48,12,0,1,0,0,1,1,1,1,low
261,11,49,12,0,1,0,0,1,1,1,1,low
262,12,48,12,0,1,0,0,1,1,1,1,low
263,13,48,12,0,1,0,0,1,1,1,1,low
264,14,49,12,0,1,0,0,1,1,1,1,average
265,15,48,12,1,1,0,0,1,1,1,1,average
266,16,49,12,0,1,0,0,1,1,1,1,average
267,6,47,13,1,0,0,1,1,1,0,1,average
268,7,51,13,1,0,0,1,0,1,0,1,average
269,8,48,13,1,0,0,1,0,1,0,1,average
270,9,50,13,1,0,0,1,0,1,0,1,average
271,10,50,13,1,0,0,1,0,1,0,1,high
272,11,52,13,1,0,0,1,0,1,0,1,high
273,12,51,13,1,0,0,1,1,1,0,1,high
274,30,47,8,1,0,1,0,1,1,1,1,low
275,31,39,8,1,0,1,0,1,1,1,1,average
276,32,32,8,1,0,1,0,1,1,1,1,average
277,33,35,8,1,0,1,0,1,1,1,1,high
278,34,47,8,1,0,1,0,1,1,1,1,high
279,35,45,8,1,0,1,0,1,1,1,1,high
280,36,47,8,1,0,1,0,1,1,1,1,very high
281,20,50,16,1,0,1,1,1,1,0,1,high
282,21,50,16,1,0,1,1,1,1,0,1,high
283,22,50,16,1,0,1,1,1,1,0,1,very high
284,23,50,16,1,0,1,1,1,1,0,1,very high
285,24,50,16,1,0,1,1,1,1,0,1,very high
286,25,48,16,1,0,1,1,1,1,0,1,very high
287,26,47,16,1,0,1,1,1,1,0,1,very high
288,30,38,12,0,1,0,1,0,0,1,0,low
289,31,41,12,0,0,0,1,0,0,1,0,average
290,32,51,12,0,0,0,1,0,0,1,0,average
291,33,50,12,0,1,0,1,0,0,1,0,high
292,34,42,12,0,1,0,1,0,0,1,0,high
293,35,50,12,0,1,0,1,0,0,1,0,high
294,36,49,12,0,1,0,1,0,0,1,0,very high
295,5,49,16,1,0,0,1,1,1,0,1,average
296,6,47,16,1,0,0,1,1,1,0,1,high
297,7,48,16,1,0,0,1,1,1,0,1,high
298,8,49,16,1,0,0,1,1,1,0,1,very high
299,9,46,16,1,0,0,1,1,1,0,1,very high
300,10,45,16,1,0,0,1,1,1,0,1,very high
301,11,49,16,1,0,0,1,1,1,0,1,very high
302,7,48,17,1,1,0,1,1,1,0,1,high
303,8,48,17,1,1,0,1,1,1,0,1,high
304,9,48,17,1,1,0,1,1,1,0,1,very high
305,10,47,17,1,1,0,1,1,1,0,1,very high
306,11,46,17,1,1,0,1,1,1,0,1,very high
307,12,46,17,1,1,0,1,1,1,0,1,very high
308,13,46,17,1,1,0,1,1,1,0,1,very high
309,13,49,13,1,0,0,1,0,0,0,1,low
310,14,50,13,1,0,0,1,0,0,0,1,low
311,15,50,13,1,0,0,1,0,0,0,1,low
312,16,50,13,1,0,0,1,0,0,0,1,average
313,17,50,13,1,0,0,1,0,0,0,1,average
314,18,50,13,1,0,0,1,0,0,0,1,average
315,19,49,13,1,0,0,1,0,0,0,1,average
316,6,42,12,0,0,0,0,1,1,1,1,low
317,7,44,12,0,0,0,0,1,1,1,1,low
318,8,48,12,0,0,0,0,1,1,1,1,low
319,9,47,12,0,0,0,0,1,1,1,1,low
320,10,48,12,0,0,0,0,1,1,1,1,average
321,11,47,12,1,0,0,0,1,1,1,1,average
322,12,47,12,0,0,0,0,1,1,1,1,average
323,26,48,14,1,0,0,1,1,1,0,1,high
324,27,49,14,1,0,0,1,1,1,0,1,high
325,28,48,14,1,0,0,1,1,1,0,1,very high
326,29,48,14,1,0,0,1,1,1,0,1,very high
327,30,48,14,1,0,0,1,1,1,0,1,very high
328,31,47,14,1,0,0,1,1,1,0,1,very high
329,32,48,14,1,0,0,1,1,1,0,1,very high
330,26,50,16,1,1,0,1,0,1,0,1,high
331,27,50,16,1,1,0,1,0,1,0,1,high
332,28,50,16,1,1,0,1,0,1,0,1,very high
333,29,50,16,1,1,0,1,0,1,0,1,very high
334,30,48,16,1,1,0,1,1,1,0,1,very high
335,31,41,16,1,1,0,1,1,1,0,1,very high
336,32,49,16,1,1,0,1,0,1,0,1,very high
337,31,47,16,1,1,0,0,1,1,0,1,high
338,32,46,16,1,1,0,0,1,1,0,1,high
339,33,47,16,1,1,0,0,1,1,0,1,very high
340,34,48,16,1,1,0,0,1,1,0,1,very high
341,35,47,16,1,1,0,0,1,1,0,1,very high
342,36,49,16,1,1,0,0,1,1,0,1,very high
343,37,48,16,1,1,0,0,1,1,0,1,very high
344,31,50,12,1,0,0,1,0,0,1,1,low
345,32,45,12,1,0,0,1,0,0,1,1,average
346,33,43,12,1,0,0,1,0,0,1,1,average
347,34,48,12,1,0,0,1,0,0,1,1,average
348,35,46,12,1,0,0,1,0,0,1,1,average
349,36,32,12,1,0,0,1,0,0,1,1,high
350,37,28,12,1,0,0,1,0,0,1,1,high
351,31,45,17,1,1,0,1,1,1,0,1,high
352,32,48,17,1,1,0,1,1,1,0,1,high
353,33,48,17,1,1,0,1,1,1,0,1,very high
354,34,47,17,1,0,0,1,1,1,0,1,very high
355,35,48,17,1,1,0,1,1,1,0,1,very high
356,36,47,17,1,1,0,1,1,1,0,1,very high
357,37,44,17,1,1,0,1,1,1,0,1,very high
358,25,46,16,1,0,0,1,1,1,0,1,high
359,26,49,16,1,0,0,1,1,1,0,1,high
360,27,49,16,1,0,0,1,1,1,0,1,very high
361,28,48,16,1,0,0,1,1,1,0,1,very high
362,29,48,16,1,0,0,1,1,1,0,1,very high
363,30,48,16,1,0,0,1,1,1,0,1,very high
364,31,49,16,1,0,0,1,1,1,1,1,very high
365,13,47,13,1,0,1,0,1,1,0,1,average
366,14,49,13,1,0,1,0,1,1,0,1,high
367,15,48,13,0,0,0,0,1,1,0,1,very high
368,16,49,13,0,0,0,0,1,1,0,1,very high
369,17,48,13,1,0,0,0,1,1,0,1,very high
370,18,47,13,0,0,0,0,1,1,0,1,very high
371,19,48,13,1,0,0,0,1,1,0,1,very high
372,13,47,11,0,1,0,0,1,1,1,1,average
373,14,52,11,0,1,0,0,1,1,1,1,average
374,15,51,11,0,1,0,0,1,1,1,1,average
375,16,51,11,0,1,0,0,1,1,1,1,high
376,17,49,11,0,1,0,0,1,1,1,1,high
377,18,49,11,0,1,0,0,1,1,1,1,very high
378,19,50,11,0,1,0,0,1,1,1,1,very high
379,32,49,8,0,1,0,1,1,1,1,1,average
380,33,49,8,0,1,0,1,1,1,1,1,high
381,34,49,8,0,1,0,1,1,1,1,1,high
382,35,47,8,0,1,0,1,1,1,1,1,high
383,36,48,8,0,1,0,1,1,1,1,1,very high
384,37,47,8,0,1,0,1,1,1,1,1,very high
385,38,46,8,0,1,0,1,1,1,1,1,very high
386,23,51,12,0,1,1,0,1,1,0,1,low
387,24,49,12,0,1,1,0,1,1,0,1,low
388,25,52,12,0,1,1,0,1,1,0,1,low
389,26,52,12,0,1,1,0,1,1,0,1,low
390,27,48,12,0,1,1,0,1,1,0,1,average
391,28,50,12,0,1,1,0,1,1,0,1,average
392,29,50,12,0,1,1,0,1,1,0,1,average
393,21,47,11,0,0,1,1,1,1,0,1,low
394,22,49,11,0,0,1,1,1,1,0,1,low
395,23,49,11,0,0,1,1,1,1,0,1,low
396,24,49,11,1,0,1,1,1,1,0,1,average
397,25,47,11,1,0,1,1,1,1,0,1,average
398,26,48,11,1,0,1,1,1,1,0,1,average
399,27,48,11,1,0,1,1,1,1,0,1,low
400,37,49,14,0,1,0,1,1,1,1,1,average
401,38,48,14,0,1,0,1,1,1,1,1,average
402,39,40,14,0,1,0,1,1,1,1,1,high
403,40,48,14,0,1,0,1,1,1,0,1,high
404,41,48,14,0,1,0,1,1,1,1,1,very high
405,42,48,14,0,1,0,1,1,1,1,1,very high
406,43,48,14,0,1,0,1,1,1,0,1,very high
407,26,48,17,1,1,0,1,1,1,0,1,high
408,27,49,17,1,1,0,1,1,1,0,1,high
409,28,48,17,1,1,0,1,1,1,0,1,very high
410,29,47,17,1,1,0,1,1,1,0,1,very high
411,30,46,17,1,1,0,1,1,1,0,1,very high
412,31,48,17,1,1,0,1,1,1,0,1,very high
413,32,46,17,1,1,0,1,1,1,0,1,very high
414,18,46,11,1,0,0,1,0,0,1,0,low
415,19,39,11,1,0,0,1,0,0,1,0,low
416,20,44,11,1,0,0,1,0,0,1,0,low
417,21,49,11,0,0,0,1,0,0,1,0,low
418,22,48,11,1,0,0,1,0,0,1,0,low
419,23,47,11,0,0,0,1,0,0,1,0,low
420,24,43,11,0,0,0,1,0,0,1,0,low
421,24,50,17,1,0,0,1,0,0,1,1,high
422,25,51,17,1,0,0,1,0,0,0,1,high
423,26,51,17,1,0,0,1,0,0,0,1,high
424,27,50,17,1,0,0,1,0,0,0,1,very high
425,28,22,17,1,0,0,1,0,0,0,1,high
426,29,41,17,1,0,0,1,0,0,0,1,high
427,30,26,17,1,0,0,1,0,0,0,1,very high
428,7,50,16,0,0,1,0,1,1,0,1,average
429,8,50,16,0,1,1,0,1,1,0,1,high
430,9,50,16,0,1,1,0,1,1,0,1,high
431,10,50,16,0,1,1,0,1,1,0,1,very high
432,11,49,16,0,1,1,0,1,1,0,1,high
433,12,49,16,0,1,1,0,1,1,0,1,very high
434,13,49,16,0,1,1,0,1,1,0,1,very high
435,11,50,17,1,0,0,0,1,1,0,1,high
436,12,49,17,1,0,0,0,1,1,0,1,high
437,13,50,17,1,0,0,0,1,1,0,1,very high
438,14,49,17,1,0,0,0,1,1,0,1,very high
439,15,49,17,1,0,0,0,1,1,0,1,very high
440,16,48,17,1,0,0,0,1,1,0,1,very high
441,17,50,17,1,0,0,0,1,1,0,1,very high
442,34,44,12,0,1,0,1,1,1,0,1,low
443,35,46,12,0,1,0,1,1,1,0,1,average
444,36,49,12,0,1,0,1,1,1,0,1,average
445,37,48,12,0,1,0,1,1,1,0,1,average
446,38,45,12,0,1,0,1,1,1,0,1,average
447,39,47,12,0,1,0,1,1,1,0,1,average
448,40,50,12,0,1,0,1,1,1,0,1,high
449,30,46,8,0,1,0,1,1,1,1,1,average
450,31,44,8,0,1,0,1,1,1,1,1,average
451,32,45,8,0,1,0,1,1,1,1,1,high
452,33,46,8,0,1,0,1,1,1,1,1,high
453,34,36,8,0,1,0,1,1,1,1,1,high
454,35,45,8,0,1,0,1,1,1,1,1,very high
455,36,45,8,0,1,0,1,1,1,1,1,very high
456,20,49,8,0,1,1,0,1,1,0,1,low
457,21,49,8,0,1,1,0,1,1,0,1,average
458,22,47,8,0,1,1,0,1,1,0,1,average
459,23,49,8,0,1,1,0,1,1,0,1,average
460,24,47,8,0,1,1,0,1,1,0,1,high
461,25,44,8,0,1,1,0,1,1,0,1,high
462,26,48,8,0,1,1,0,1,1,0,1,high
463,28,50,12,0,0,1,0,1,1,0,1,low
464,29,50,12,0,0,1,0,1,1,0,1,low
465,30,49,12,0,0,1,0,1,1,0,1,low
466,31,50,12,0,0,1,0,1,1,0,1,low
467,32,50,12,0,0,1,0,1,1,0,1,low
468,33,50,12,0,0,1,0,1,1,0,1,average
469,34,49,12,0,0,1,0,1,1,0,1,average
470,34,40,12,0,1,0,1,1,1,1,1,average
471,35,47,12,0,1,0,1,1,1,1,1,average
472,36,42,12,0,1,0,1,1,1,1,1,average
473,37,45,12,0,1,0,1,1,1,1,1,average
474,38,47,12,0,1,0,1,1,1,1,1,high
475,39,47,12,0,1,0,1,1,1,1,1,high
476,40,46,12,0,1,0,1,1,1,1,1,very high
477,27,49,13,0,1,0,1,1,1,0,1,average
478,28,46,13,0,1,0,1,1,1,0,1,average
479,29,47,13,0,1,0,1,1,1,0,1,average
480,30,47,13,0,0,0,1,1,1,0,1,average
481,31,47,13,0,0,0,1,1,1,0,1,high
482,32,48,13,0,0,0,1,1,1,0,1,high
483,33,48,13,0,1,0,1,1,1,0,1,high
484,8,49,16,1,0,0,1,1,1,0,1,average
485,9,48,16,1,0,0,1,1,1,0,1,average
486,10,49,16,1,0,0,1,1,1,0,1,average
487,11,49,16,1,0,0,0,1,1,0,1,high
488,12,48,16,1,0,0,0,1,1,0,1,high
489,13,48,16,1,0,0,0,1,1,0,1,high
490,14,48,16,1,0,0,0,1,1,0,1,very high
491,7,48,16,1,0,1,1,0,1,0,1,high
492,8,49,16,1,0,1,1,0,1,0,1,high
493,9,49,16,1,0,1,1,0,1,0,1,high
494,10,48,16,1,0,1,1,0,1,0,1,very high
495,11,46,16,1,0,1,1,0,1,0,1,very high
496,12,48,16,1,0,1,1,0,1,0,1,very high
497,13,48,16,1,0,1,1,0,1,0,1,very high
498,11,40,17,1,0,0,0,1,1,1,1,average
499,12,40,17,1,0,0,0,1,1,1,1,average
500,13,42,17,1,0,0,0,1,1,1,1,average
501,14,40,17,1,0,0,0,1,1,1,1,average
502,15,40,17,1,0,0,0,1,1,1,1,high
503,16,40,17,1,0,0,0,1,1,1,1,high
504,17,42,17,1,0,0,0,1,1,1,1,very high
505,13,49,16,0,0,0,1,1,1,1,1,average
506,14,49,16,0,0,0,1,1,1,1,1,average
507,15,49,16,0,0,0,1,1,1,1,1,high
508,16,48,16,1,0,0,1,1,1,1,1,high
509,17,47,16,1,0,0,1,1,1,1,1,high
510,18,47,16,1,0,0,1,1,1,1,1,high
511,19,47,16,1,0,0,1,1,1,1,1,very high
512,3,51,13,0,1,1,0,0,1,0,1,low
513,4,51,13,0,1,1,0,0,1,0,1,low
514,5,51,13,0,1,1,0,0,1,0,1,low
515,6,45,13,1,0,1,0,0,1,0,1,low
516,7,50,13,1,0,1,0,0,1,0,1,low
517,8,50,13,0,0,1,0,0,1,0,1,low
518,9,52,13,0,0,1,0,0,1,0,1,low
519,23,36,8,0,1,1,0,1,1,0,0,low
520,24,51,8,0,1,1,0,1,1,0,0,low
521,25,51,8,0,1,1,0,1,1,0,0,low
522,26,24,8,0,1,1,0,1,1,0,0,low
523,27,50,8,0,1,1,0,1,1,0,0,low
524,28,51,8,0,1,1,0,1,1,0,0,average
525,29,47,8,0,1,1,0,1,1,0,0,average
526,9,51,13,0,0,0,1,1,1,0,1,low
527,10,47,13,1,0,0,1,1,1,0,1,low
